[03-Jun-2025 20:13:01 Europe/Kyiv] Request: GET /admin/export-stats?survey_id=3&type=xlsx from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:13:46 Europe/Kyiv] Request: GET /admin/users from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:13:46 Europe/Kyiv] Request completed in 21.29ms, memory: 2MB
[03-Jun-2025 20:13:57 Europe/Kyiv] Request: GET /admin/users?search=2 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:13:57 Europe/Kyiv] Request completed in 71.4ms, memory: 2MB
[03-Jun-2025 20:14:05 Europe/Kyiv] Request: GET /admin/users?search=3 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:05 Europe/Kyiv] Request completed in 30.97ms, memory: 2MB
[03-Jun-2025 20:14:14 Europe/Kyiv] Request: GET /admin/users?search=ID+3 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:14 Europe/Kyiv] Request completed in 40.94ms, memory: 2MB
[03-Jun-2025 20:14:18 Europe/Kyiv] Request: GET /admin/users?search=ID3 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:18 Europe/Kyiv] Request completed in 25.02ms, memory: 2MB
[03-Jun-2025 20:14:22 Europe/Kyiv] Request: GET /admin/users?search=3 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:22 Europe/Kyiv] Request completed in 15.91ms, memory: 2MB
[03-Jun-2025 20:14:25 Europe/Kyiv] Request: GET /admin/users?search= from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:25 Europe/Kyiv] Request completed in 34ms, memory: 2MB
[03-Jun-2025 20:14:35 Europe/Kyiv] Request: GET /admin/users?search=%D0%9F%D0%B5%D1%82%D1%80%D0%BE from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:35 Europe/Kyiv] Request completed in 40.64ms, memory: 2MB
[03-Jun-2025 20:14:44 Europe/Kyiv] Request: GET /admin/users?search=ipz232_boo from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:44 Europe/Kyiv] Request completed in 35.36ms, memory: 2MB
[03-Jun-2025 20:14:52 Europe/Kyiv] Request: GET /admin/users?search=%D0%9A%D0%BE%D1%80%D0%B8%D1%81%D1%82%D1%83%D0%B2%D0%B0%D1%87 from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
[03-Jun-2025 20:14:52 Europe/Kyiv] Request completed in 40.75ms, memory: 2MB
[03-Jun-2025 20:14:56 Europe/Kyiv] Request: GET /admin/users?search= from ::1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
